Land;type;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Baden-Wurttemberg;male;45667;45539;44849;46028;45173;45781;45942;44838;45000;44847;44081;43794;43656;44475;42991;43760;43419;44058;44973;45738;46666;46214;47898;48928;48780;51691;52662;53677;54471;55359;57901;59921;62076
Baden-Wurttemberg;female;51903;51607;51128;52544;51465;51952;52966;52329;51810;52086;51273;50302;51454;52754;48655;50314;49243;50021;51458;51818;52141;51518;52686;53019;51883;56375;53968;55443;56663;56223;58105;59097;62600
Baden-Wurttemberg;total;97570;97146;95977;98572;96638;97733;98908;97167;96810;96933;95354;94096;95110;97229;91646;94074;92662;94079;96431;97556;98807;97732;100584;101947;100663;108066;106630;109120;111134;111582;116006;119018;124676
Bayern;male;57494;56931;56365;56853;56574;56807;57079;56234;55907;55564;55194;54780;55640;56495;54662;55661;55519;55875;56661;57918;58282;58311;59554;60498;59840;64228;63573;65158;66228;65975;71350;74158;76214
Bayern;female;66232;65345;64388;65796;65007;65185;66250;65207;64540;63955;63652;63150;64115;65283;61798;63665;63214;62557;64448;64576;64807;64644;65894;66405;64289;69308;65979;68744;68581;68338;72017;73826;76213
Bayern;total;123726;122276;120753;122649;121581;121992;123329;121441;120447;119519;118846;117930;119755;121778;116460;119326;118733;118432;121109;122494;123089;122955;125448;126903;124129;133536;129552;133902;134809;134313;143367;147984;152427
Berlin;male;17802;17844;17426;17246;16988;16552;15790;15487;14758;14746;14485;14103;14384;14440;14120;14332;14252;14249;14542;14585;15120;15015;15225;15820;15890;16917;16908;16891;17785;17388;19044;19384;20001
Berlin;female;26264;25810;24578;24027;23750;22693;22309;20960;20466;20250;18850;18723;19108;18706;17672;17653;17271;16731;17369;17128;17114;16365;16993;16972;16424;17361;17142;17446;18115;17351;18598;18322;19570
Berlin;total;44066;43654;42004;41273;40738;39245;38099;36447;35224;34996;33335;32826;33492;33146;31792;31985;31523;30980;31911;31713;32234;31380;32218;32792;32314;34278;34050;34337;35900;34739;37642;37706;39571
Brandenburg;male;14768;14463;13916;14034;13579;13178;12993;12767;12309;12271;12472;12207;12527;12907;12419;12450;12669;12928;12865;13185;13538;13596;14171;14761;14464;15516;15550;16005;16502;16387;17987;19542;19261
