Duration of marriage;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
under 2 years;1218;1112;1039;1045;985;940;1017;899;747;596
2 years;5633;5640;5140;5175;5132;5020;5163;5233;4696;3386
3 years;7313;7118;7184;6506;6555;6640;6883;6843;6997;5613
4 years;6697;6462;6324;6328;5719;5729;5674;5666;5690;5242
5 years;8577;8474;8321;8083;7789;7257;7491;7446;7618;7312
6 years;8851;8859;8592;8648;7876;7780;7765;7458;7939;7542
7 years;8482;8440;8233;8251;7698;7491;7669;7192;7286;7319
8 years;8052;8083;7698;7713;7352;7162;7069;6950;7064;6866
9 years;7939;7604;7209;7252;6877;6621;6771;6436;6881;6246
10 years;7246;7151;6946;6808;6373;6389;6333;6190;6257;6269
11 years;6783;6751;6823;6697;6033;5931;5935;5816;5855;5650
12 years;6321;6245;6104;6357;5850;5548;5553;5485;5501;5388
13 years;6158;5716;5930;5683;5574;5321;5361;5035;5139;5046
14 years;5954;5833;5306;5459;5167;5238;4940;4789;4956;4720
15 years;5455;5554;5398;5090;4938;4803;4990;4744;4588;4451
16 years;5300;5151;5185;5183;4596;4685;4673;4507;4521;4207
17 years;5038;4992;4862;5065;4729;4258;4305;4143;4270;3969
18 years;4815;4778;4680;4680;4595;4177;4010;3940;4066;3934
19 years;4628;4558;4496;4488;4236;4136;4192;3790;3845;3699
20 years;4471;4528;4302;4311;4121;3864;4000;3815;3441;3519
21 years;4406;4117;4108;4009;3964;3666;3685;3762;3522;3189
22 years;4158;4050;3941;3906;3669;3461;3446;3236;3304;3216
23 years;4324;3778;3606;3738;3551;3265;3365;3099;2910;3041
24 years;3991;3972;3418;3500;3225;3140;2935;2965;2743;2638
25 years;3752;3586;3730;3120;3093;2853;2879;2606;2593;2582
26 years and over;24271;23647;24760;25302;23804;22691;22906;21756;20322;21713
