age of husband;15 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 70 years;70 to under 75 years;75 years and over
15 to under 20 years;254;192;37;9;5;2;2;0;0;0;0;0;0
20 to under 25 years;1754;11616;3627;664;191;59;36;17;8;3;1;1;0
25 to under 30 years;808;19666;54419;11133;1864;357;161;68;19;10;1;1;0
30 to under 35 years;168;5425;43396;44918;7742;1225;323;138;34;11;3;2;3
35 to under 40 years;46;1246;11206;26532;18314;3319;889;269;66;18;2;2;0
40 to under 45 years;15;368;2568;7457;11392;6995;2287;763;181;41;6;1;0
45 to under 50 years;10;174;964;2850;5736;6991;8005;3651;878;165;36;12;6
50 to under 55 years;4;84;438;1130;2249;3763;8550;9560;2950;646;123;22;11
55 to under 60 years;2;28;145;333;783;1378;3821;7073;5718;1512;279;72;26
60 to under 65 years;0;14;54;119;235;435;1226;2887;3855;2522;586;113;41
65 to under 70 years;0;5;22;31;91;136;400;939;1403;1580;870;187;64
70 to under 75 years;0;2;6;13;32;47;138;292;454;546;580;288;131
75 years and over;0;2;3;7;17;44;96;178;312;429;518;453;529

