Year;Country;Arrivals from foreign countries(german);Departures to foreign countries(german);Arrivals from foreign countries;Departures to foreign countries
2017;Albania;68;68;10749;15093
2017;Bosnia and Herzegovina;125;79;26112;12088
2017;Andorra;27;8;48;20
2017;Belgium;1870;1803;5803;4583
2017;Bulgaria;327;450;78347;49321
2017;Denmark;828;1246;3435;3651
2017;Estonia;68;94;881;690
2017;Finland;305;334;2644;2327
2017;France;5257;5149;21595;18266
2017;Croatia;259;364;53050;23955
2017;Slovenia;72;131;4634;3021
2017;Greece;800;690;30586;17415
2017;Ireland;737;886;3046;2288
2017;Iceland;71;109;329;287
2017;Italy;2328;2287;63495;39246
2017;Latvia;82;93;7345;4756
2017;Montenegro;30;42;2149;1800
2017;Lithuania;77;99;10087;5975
2017;Luxembourg;608;669;3804;2637
2017;North Macedonia;103;76;17674;12501
2017;Malta;158;234;395;380
2017;Netherlands;2661;3319;13419;12059
2017;Norway;844;953;2137;2062
2017;Kosovo;163;126;15885;9274
2017;Austria;6384;9660;19382;20085
2017;Poland;3940;5069;152522;119098
2017;Portugal;752;1091;9124;8020
2017;Romania;670;782;219989;151810
2017;Slovakia;135;178;12003;9409
2017;Sweden;947;1641;4095;4313
2017;Switzerland;11124;15784;17514;22150
2017;Russian Federation;4447;2008;19324;11792
2017;Spain;5131;5959;27493;22472
2017;Turkey;4891;5841;47750;27049
2017;Czechia;586;825;11778;8456
2017;Hungary;654;1047;46141;36851
2017;Ukraine;1186;285;12910;6729
2017;United Kingdom;6583;6677;21460;16138
2017;Belarus;253;130;2312;1232
2017;Serbia;246;217;26527;19554
2017;Cyprus;142;179;1006;547
2017;Algeria;164;125;3047;4272
2017;Angola;22;18;366;262
2017;Ethiopia;140;112;1673;1247
2017;Cote d'Ivoire;31;23;757;689
2017;Nigeria;219;152;7001;544
2017;Ghana;221;130;2779;2101
2017;Kenya;260;217;1217;613
2017;Congo, Republic of the;16;13;141;139
2017;Congo, The Democratic Republic of the;32;32;423;232
2017;Libya;42;31;2611;1659
2017;Morocco;458;379;6089;5773
2017;Niger;22;15;147;188
2017;Cameroon;95;85;2032;1082
2017;South Africa;1132;800;2430;1321
2017;Rwanda;27;47;172;98
2017;Namibia;280;165;385;240
2017;Senegal;77;41;545;1275
2017;Somalia;11;14;3716;146
